start_station,end_station,directions_time_min,same_line,interchange_station,metro_distance_km,start_lat,start_lng,end_lat,end_lng,start_place_id,end_place_id,start_line,end_line,transfer_count
Thalaghattapura,Jayadeva Hospital,23.0,False,Rashtreeya Vidyalaya Road,11.045,12.871366,77.538439,12.9167331,77.6000931,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJL-fqRwAVrjsRO5ziy-KDOLc,Green Line,Yellow Line,1
Jayadeva Hospital,Thalaghattapura,23.0,False,Rashtreeya Vidyalaya Road,11.045,12.9167331,77.6000931,12.871366,77.538439,ChIJL-fqRwAVrjsRO5ziy-KDOLc,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,BTM Layout,26.0,False,Rashtreeya Vidyalaya Road,11.926,12.871366,77.538439,12.916488,77.60806099999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJC2hz-f0UrjsRc0WcLXUKXMI,Green Line,Yellow Line,1
BTM Layout,Thalaghattapura,26.0,False,Rashtreeya Vidyalaya Road,11.926,12.916488,77.60806099999999,12.871366,77.538439,ChIJC2hz-f0UrjsRc0WcLXUKXMI,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Central Silk Board,28.0,False,Rashtreeya Vidyalaya Road,13.3,12.871366,77.538439,12.9164445,77.62052609999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJl8NMAwAVrjsRvop90Vobkvk,Green Line,Yellow Line,1
Central Silk Board,Thalaghattapura,28.0,False,Rashtreeya Vidyalaya Road,13.3,12.9164445,77.62052609999999,12.871366,77.538439,ChIJl8NMAwAVrjsRvop90Vobkvk,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Bommanahalli,30.0,False,Rashtreeya Vidyalaya Road,14.350999999999999,12.871366,77.538439,12.9107316,77.62632789999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJweJ3eZcVrjsRvWO5l55NnB0,Green Line,Yellow Line,1
Bommanahalli,Thalaghattapura,30.0,False,Rashtreeya Vidyalaya Road,14.350999999999999,12.9107316,77.62632789999999,12.871366,77.538439,ChIJweJ3eZcVrjsRvWO5l55NnB0,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Hongasandra,32.0,False,Rashtreeya Vidyalaya Road,15.521,12.871366,77.538439,12.9017117,77.6319874,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJS8127RkVrjsRAAwS7NLZMzc,Green Line,Yellow Line,1
Hongasandra,Thalaghattapura,32.0,False,Rashtreeya Vidyalaya Road,15.521,12.9017117,77.6319874,12.871366,77.538439,ChIJS8127RkVrjsRAAwS7NLZMzc,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Kudlu Gate,35.0,False,Rashtreeya Vidyalaya Road,17.049,12.871366,77.538439,12.8900206,77.63918190000001,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJIakSxv8VrjsR_uXLc2Ykep0,Green Line,Yellow Line,1
Kudlu Gate,Thalaghattapura,35.0,False,Rashtreeya Vidyalaya Road,17.049,12.8900206,77.63918190000001,12.871366,77.538439,ChIJIakSxv8VrjsR_uXLc2Ykep0,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Singasandra,37.0,False,Rashtreeya Vidyalaya Road,18.237000000000002,12.871366,77.538439,12.8808676,77.6447379,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJ2U-TVpYVrjsRozMWw2GpFiI,Green Line,Yellow Line,1
Singasandra,Thalaghattapura,37.0,False,Rashtreeya Vidyalaya Road,18.237000000000002,12.8808676,77.6447379,12.871366,77.538439,ChIJ2U-TVpYVrjsRozMWw2GpFiI,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Hosa Road,39.0,False,Rashtreeya Vidyalaya Road,19.722,12.871366,77.538439,12.8701588,77.65275489999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJuxhHXABrrjsRpr4dxIc4U0o,Green Line,Yellow Line,1
Hosa Road,Thalaghattapura,39.0,False,Rashtreeya Vidyalaya Road,19.722,12.8701588,77.65275489999999,12.871366,77.538439,ChIJuxhHXABrrjsRpr4dxIc4U0o,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Beratena Agrahara,41.0,False,Rashtreeya Vidyalaya Road,20.878999999999998,12.871366,77.538439,12.863676,77.65789699999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJcQD1x6ZsrjsRfxn6LH0Rfv4,Green Line,Yellow Line,1
Beratena Agrahara,Thalaghattapura,41.0,False,Rashtreeya Vidyalaya Road,20.878999999999998,12.863676,77.65789699999999,12.871366,77.538439,ChIJcQD1x6ZsrjsRfxn6LH0Rfv4,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Electronic City,42.0,False,Rashtreeya Vidyalaya Road,22.041,12.871366,77.538439,12.8562351,77.6637798,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJdwCsOsZtrjsRnOwQj5-fdAY,Green Line,Yellow Line,1
Electronic City,Thalaghattapura,42.0,False,Rashtreeya Vidyalaya Road,22.041,12.8562351,77.6637798,12.871366,77.538439,ChIJdwCsOsZtrjsRnOwQj5-fdAY,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Infosys Foundation Konappana Agrahara,45.0,False,Rashtreeya Vidyalaya Road,23.767,12.871366,77.538439,12.84626,77.67114699999999,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJ8dqs_o1srjsR6g5x43RGVag,Green Line,Yellow Line,1
Infosys Foundation Konappana Agrahara,Thalaghattapura,45.0,False,Rashtreeya Vidyalaya Road,23.767,12.84626,77.67114699999999,12.871366,77.538439,ChIJ8dqs_o1srjsR6g5x43RGVag,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
Thalaghattapura,Huskur Road,47.0,False,Rashtreeya Vidyalaya Road,25.387,12.871366,77.538439,12.838885,77.677433,ChIJJ90wKHVArjsR-RJA4w2YfnE,ChIJRy2y2_RsrjsRnL3f4oQ1FqM,Green Line,Yellow Line,1
Huskur Road,Thalaghattapura,47.0,False,Rashtreeya Vidyalaya Road,25.387,12.838885,77.677433,12.871366,77.538439,ChIJRy2y2_RsrjsRnL3f4oQ1FqM,ChIJJ90wKHVArjsR-RJA4w2YfnE,Yellow Line,Green Line,1
